Run_ID,Seed,Method,Turbine_Count,Net_AEP_GWh,Total_Cost_USD,Turbine_Coords_X,Turbine_Coords_Y,Substation_X,Substation_Y,N_Grupos
1,1769823322,Baseline,64,1287.607690854407,1510232.603843975579,"0.000000000000,750.000000000000,231.762700000000,-606.762700000000,-606.762700000000,231.762700000000,1500.000000000000,1299.038100000000,750.000000000000,0.000000000000,-750.000000000000,-1299.038100000000,-1500.000000000000,-1299.038100000000,-750.000000000000,0.000000000000,750.000000000000,1299.038100000000,2250.000000000000,2114.308400000000,1723.600000000000,1125.000000000000,390.708400000000,-390.708400000000,-1125.000000000000,-1723.600000000000,-2114.308400000000,-2250.000000000000,-2114.308400000000,-1723.600000000000,-1125.000000000000,-390.708400000000,390.708400000000,1125.000000000000,1723.600000000000,2114.308400000000,3000.000000000000,2924.783700000000,2702.906600000000,2345.494400000000,1870.469400000000,1301.651200000000,667.562800000000,0.000000000000,-667.562800000000,-1301.651200000000,-1870.469400000000,-2345.494400000000,-2702.906600000000,-2924.783700000000,-3000.000000000000,-2924.783700000000,-2702.906600000000,-2345.494400000000,-1870.469400000000,-1301.651200000000,-667.562800000000,0.000000000000,667.562800000000,1301.651200000000,1870.469400000000,2345.494400000000,2702.906600000000,2924.783700000000","0.000000000000,0.000000000000,713.292400000000,440.838900000000,-440.838900000000,-713.292400000000,0.000000000000,750.000000000000,1299.038100000000,1500.000000000000,1299.038100000000,750.000000000000,0.000000000000,-750.000000000000,-1299.038100000000,-1500.000000000000,-1299.038100000000,-750.000000000000,0.000000000000,769.545300000000,1446.272100000000,1948.557200000000,2215.817400000000,2215.817400000000,1948.557200000000,1446.272100000000,769.545300000000,0.000000000000,-769.545300000000,-1446.272100000000,-1948.557200000000,-2215.817400000000,-2215.817400000000,-1948.557200000000,-1446.272100000000,-769.545300000000,0.000000000000,667.562800000000,1301.651200000000,1870.469400000000,2345.494400000000,2702.906600000000,2924.783700000000,3000.000000000000,2924.783700000000,2702.906600000000,2345.494400000000,1870.469400000000,1301.651200000000,667.562800000000,0.000000000000,-667.562800000000,-1301.651200000000,-1870.469400000000,-2345.494400000000,-2702.906600000000,-2924.783700000000,-3000.000000000000,-2924.783700000000,-2702.906600000000,-2345.494400000000,-1870.469400000000,-1301.651200000000,-667.562800000000",-31.234752377721,-39.043440472152,49
1,1769823322,Sequential,64,1476.340467250215,3882408.554395434912,"-252.257719113976,381.117291714432,3402.614109051072,-1148.393924110753,1623.976632549497,1222.476152781483,2298.137616441241,1165.520498116553,1660.520532020465,-713.344204813348,-1078.985762273107,-1826.405934809161,446.792700475572,-1063.565120439798,-4092.954306449287,2012.118703516998,-1058.602573151514,-176.163528048196,2437.472433547060,1512.268437589482,-36.532675105737,874.926330391192,845.158659301715,-2810.007821630573,-1250.258281687515,-3278.221912093753,-4471.592436834181,-2295.258909237899,-2026.584160394500,-70.924570440057,2770.803955331736,125.838517952728,-1789.106650755000,-1115.579600333126,1982.510591058457,3956.683040490815,3692.393762354426,4592.020179674161,3000.864255200549,-248.473127969906,2414.253615448386,953.214535469478,565.679768501772,352.597352744683,-535.608761137294,-2193.355436104859,-3373.472955713963,-1880.315772953162,-4590.229634986266,-3583.939795478219,-4214.432507751458,-2285.724389175629,-3935.859767906420,-3397.039977891448,-1288.451317574670,-2460.088404170184,1058.910366818144,2822.863336702984,1571.305851288686,2334.857763800023,2598.967430362065,1023.597473507961,1711.075482114079,2951.338961252816","-2001.805854448807,1907.322171743076,-973.498092021433,208.821677416024,530.741179373295,612.934239426362,-1833.580713736452,-776.921222253197,1612.603828279389,1808.458858680318,4034.352406828443,3866.490545571914,952.422164775590,-317.436953333351,-1332.879403013322,-173.997659526485,-2755.153414495619,-1711.590704182088,459.881529885013,2534.188018170099,2154.288891937177,-4456.675011530157,4183.644806542179,-220.587384585432,2008.812594886781,2897.491803024699,547.486969726896,1462.603074561794,-1908.043737530349,-3020.311060878727,-3530.044635963613,-2560.543547269422,-658.410336161827,-2343.410833066583,-4512.844810687726,-27.529366667323,1111.606934683218,1978.219065084877,3142.555165935695,1715.416967395974,3234.165542475348,1763.383139957506,4350.062908720712,3680.265422936052,4466.390619206840,2115.009080324908,3624.436114346709,3116.634439521020,1518.824079815281,2867.419775154649,-21.661423280764,-438.617829686895,-336.692140992624,-2982.389541482949,-2990.270995054814,-3534.744159698969,-3867.257142269930,-3866.825754275783,-4571.660648667799,-4215.520711591422,-3128.623446347122,-2220.444226381439,3979.843369016904,-2375.589981401302",820.004900927767,-658.820508546623,5
1,1769823322,Proposed,64,1500.545127886488,2097949.531225882936,"1712.001864387144,-193.355882532704,4009.632996216627,2793.229001604239,-564.074209883367,4142.361363620849,1167.396540119581,2429.494812358545,-3105.066933322315,-480.048457249861,3187.867986251035,-3384.176506540563,-4839.488071060304,3023.903753849972,-1349.426257843576,-3709.222193044663,1094.621073396173,-2929.497539004095,3580.472414303028,-2799.210553150894,-1845.855957782388,-1740.616323136585,2481.426879354851,-1805.564558518614,1050.790486601501,4543.407146065809,-3626.260735558298,1639.552092329159,1338.683317454677,-1853.584082571691,-1850.311530788417,-4085.538856592565,655.576054111997,-3925.991775457373,4368.582250933344,-2424.864820750736,-51.876255080679,-174.496997687077,-4297.979817633006,3713.143917404904,-1753.902941193017,198.375208444758,-1533.956412480763,-2609.536551964648,2189.177602471477,973.789862145045,4905.953112130249,530.108258472580,3891.204049773347,2185.304392633597,3076.514733814747,-1510.436943638362,-528.979910243806,837.556877841961,-2087.665112989700,1501.662487675546,-3405.694299524181,1914.743868476806,2586.935035803744,1219.937065816505,705.080553326864,-960.133911780043,-1374.378982467308,1515.643324945640","4476.707250666719,-220.838784706823,1049.474891727627,-1913.939048858403,2444.482345105936,-2800.150412599512,2380.022117504911,444.860212377032,-1553.141804280905,-3254.028521697740,912.469169102546,-2036.084313848040,-1032.756427774870,-1580.442272288791,-4597.543607638191,-342.157478014121,202.750527850264,-223.881735887916,-1213.338906515466,3193.744046600675,-3738.836192057075,1789.060311507320,-3809.241491072032,-4662.610494671572,-2138.824780757269,1319.523440133017,-1334.967174131607,2207.060011980490,3152.428826828572,700.088338554972,-1813.041773740614,1397.142346611746,1293.298060283037,3082.395033279420,-1978.961291329277,1465.623090615451,1995.328386148025,4941.443809331343,-552.126594495757,-682.639992698729,1063.932083971584,-2523.584420286324,-2072.129507100403,1823.171901730095,-2073.224743181772,1147.689094254769,-545.122721361616,-2500.317541639532,3139.829779307710,-810.653193228609,2608.547315408723,-2572.650272904436,-1901.903046482812,2526.709822728949,-1458.753053825349,-4744.204061632446,-3660.771276410000,3095.301137796169,2381.360163280435,-696.997658739797,-3682.653019747127,-1578.425915574900,783.474467091564,-977.301492603608",130.670890666636,-254.067610031318,47
2,1234031272,Baseline,64,1287.554469824800,1500407.104220525594,"0.000000000000,750.000000000000,231.762700000000,-606.762700000000,-606.762700000000,231.762700000000,1500.000000000000,1299.038100000000,750.000000000000,0.000000000000,-750.000000000000,-1299.038100000000,-1500.000000000000,-1299.038100000000,-750.000000000000,0.000000000000,750.000000000000,1299.038100000000,2250.000000000000,2114.308400000000,1723.600000000000,1125.000000000000,390.708400000000,-390.708400000000,-1125.000000000000,-1723.600000000000,-2114.308400000000,-2250.000000000000,-2114.308400000000,-1723.600000000000,-1125.000000000000,-390.708400000000,390.708400000000,1125.000000000000,1723.600000000000,2114.308400000000,3000.000000000000,2924.783700000000,2702.906600000000,2345.494400000000,1870.469400000000,1301.651200000000,667.562800000000,0.000000000000,-667.562800000000,-1301.651200000000,-1870.469400000000,-2345.494400000000,-2702.906600000000,-2924.783700000000,-3000.000000000000,-2924.783700000000,-2702.906600000000,-2345.494400000000,-1870.469400000000,-1301.651200000000,-667.562800000000,0.000000000000,667.562800000000,1301.651200000000,1870.469400000000,2345.494400000000,2702.906600000000,2924.783700000000","0.000000000000,0.000000000000,713.292400000000,440.838900000000,-440.838900000000,-713.292400000000,0.000000000000,750.000000000000,1299.038100000000,1500.000000000000,1299.038100000000,750.000000000000,0.000000000000,-750.000000000000,-1299.038100000000,-1500.000000000000,-1299.038100000000,-750.000000000000,0.000000000000,769.545300000000,1446.272100000000,1948.557200000000,2215.817400000000,2215.817400000000,1948.557200000000,1446.272100000000,769.545300000000,0.000000000000,-769.545300000000,-1446.272100000000,-1948.557200000000,-2215.817400000000,-2215.817400000000,-1948.557200000000,-1446.272100000000,-769.545300000000,0.000000000000,667.562800000000,1301.651200000000,1870.469400000000,2345.494400000000,2702.906600000000,2924.783700000000,3000.000000000000,2924.783700000000,2702.906600000000,2345.494400000000,1870.469400000000,1301.651200000000,667.562800000000,0.000000000000,-667.562800000000,-1301.651200000000,-1870.469400000000,-2345.494400000000,-2702.906600000000,-2924.783700000000,-3000.000000000000,-2924.783700000000,-2702.906600000000,-2345.494400000000,-1870.469400000000,-1301.651200000000,-667.562800000000",-31.234752377721,-39.043440472152,48
2,1234031272,Sequential,64,1477.318006324183,4163479.999779652338,"-16.408016583082,-92.583641766798,234.982265319969,-5.334730407949,947.925310211254,1414.688137379131,-4474.888081388700,-2267.893642392046,290.245427516921,-718.212870399668,-2077.992804723635,-626.337946853661,-1105.034813450343,-1827.678254443726,-1660.460106710648,-1455.378994364258,3742.443221063117,1211.023026675330,-1201.149866898923,3400.448599903528,-240.946080191279,2058.049456552895,3111.825673776470,-585.215648552558,-2167.497999463137,-3023.031004602407,-1143.137131207966,-2897.609342893184,-4400.976255113576,-3997.875997299302,-1580.658064271863,310.444510933516,-646.339285326157,3277.327591747136,-4312.306701582690,2358.708435166297,2550.670606843548,4017.241048575816,2435.107116738329,2870.113548222812,-317.722860480019,1674.812412872542,2725.816304746739,-840.443505832060,-3382.094939706030,106.968240065788,-3216.746158396334,-3351.728893841564,-2606.860069092946,-3932.122203343182,-3160.581874409409,-2215.346276577846,-3464.721985323623,-3511.571151447838,-2257.725802245352,232.386996537680,3939.071975262985,923.063118827929,598.372714909208,1007.726247980287,1043.132507838632,3027.710661848259,4002.324431647899,4211.833198423888","-1221.819723733327,721.818710926675,1754.616040600931,-4999.997154064337,-3266.421832567448,-1437.959166485476,2230.555235596142,457.325342750367,-2995.399665673131,1737.880382930905,3671.352556438900,2044.180029335583,-167.832150376310,-2116.386135347046,-46.744932044438,-1699.336943147304,-674.352024007413,-2066.218834758610,1446.019141297076,20.673961844471,1897.219392051815,4029.492052756931,2195.625921230425,4965.634163396374,1740.805604087414,879.231368327440,140.259205385680,-3044.569201601992,-1737.323095522658,-2348.647018054505,-692.534068495352,-1828.406528943299,710.056198111583,-2228.692757874923,-2530.614729958913,-1403.562262210003,-878.948783313604,2976.873251859655,2113.416257216594,2617.287297456861,3475.752159527200,2905.347454467569,3069.882226848424,3371.718429400420,2451.047212349052,11.898885950851,1927.737962940491,-1132.028787283333,1134.924305376833,2880.552575327720,2880.671276820156,-1271.293334752081,-497.101953088437,-3499.537103822907,-2541.943089270925,-3974.703545799143,-2987.992164751854,4395.235787794769,-4964.065883331141,-3519.914531278479,3652.856117771537,-3979.066240731659,-1085.079320140046,-1867.713686133410",-272.722969112338,-143.551681919484,5
2,1234031272,Proposed,64,1497.538883295201,2038501.734531101072,"-2801.122907228353,1338.901461991687,2289.188701751913,-2052.041831721055,-2992.110209889836,4514.077670151682,1039.870937372358,1204.411899439274,2846.055128492166,1940.031206370071,2635.866666917343,-2451.779870770314,-1146.816273388040,2180.041418444262,1148.020685398169,1079.531111698857,992.745447239122,-2761.027962854307,-1195.918028831399,-2111.729920143203,-2460.480497154401,-3606.717167587817,2038.987364946207,-1705.990635887610,-1060.534653980571,-2731.717319363862,1476.536224084183,-3139.245501464525,-320.527766931430,-1594.322891909483,-750.589424924097,28.070548934911,209.353118568129,-3827.737145032079,-1159.511651462030,2576.210141235488,3263.085665912698,4531.461684796393,-2159.675407593626,-2439.577818518478,-2034.881825217987,1065.610731041513,4836.036759063557,-3898.019346713095,-200.237767796877,164.270320904042,3138.155341411218,2872.563463649729,1409.811193647256,1654.594124359216,3328.009256568984,1087.093404448868,-4197.391343045102,469.421722751104,-2604.836198542432,437.248022895416,1848.906660534897,338.749276258493,2108.561811958527,1644.276536434165,-2867.103271004704,-966.606154373101,-1033.692586924205,-670.274493877539","660.790217306276,2061.828169289347,-1849.682553319362,-1339.988170576286,1585.950090309558,-2013.714548441277,495.057393923696,-4852.771576788782,3134.647813572892,775.624160230654,-3196.974629384959,3628.884698675298,-4155.203826310055,4266.086013863226,3591.690423076037,2665.736319861432,-2460.802752808846,-475.562782392091,352.734913477354,1450.990784854960,-3531.459326517837,3426.561168065685,-3043.165974584555,4576.682189470300,1787.704268114812,-1191.242425984726,1475.622334950533,2162.298169335738,-691.612076883917,-118.341466381126,-71.994254557012,-2399.648559103978,3431.448324345384,-3180.336586257355,1504.191410876213,-1397.684507324705,-2354.260205203146,-27.987521860925,-3938.103061780113,-2248.028683001735,2205.687570206271,-231.936868430762,-1269.940339144342,793.367995385236,4112.522588921082,-1814.456380514148,-423.940040389710,3412.627837117559,95.791496731827,507.509476376166,-1088.849269701760,4145.818731022347,-1097.673000415068,4261.753294898122,2915.223057587400,2102.314233156167,-2354.641967130674,-981.369575390636,3257.603627365643,4635.931850216361,-708.027351661248,-380.827114087912,-2732.194300177633,976.719516636732",12.399028680318,294.296538167400,46
3,2000746483,Baseline,64,1287.607690854407,1510232.603843975579,"0.000000000000,750.000000000000,231.762700000000,-606.762700000000,-606.762700000000,231.762700000000,1500.000000000000,1299.038100000000,750.000000000000,0.000000000000,-750.000000000000,-1299.038100000000,-1500.000000000000,-1299.038100000000,-750.000000000000,0.000000000000,750.000000000000,1299.038100000000,2250.000000000000,2114.308400000000,1723.600000000000,1125.000000000000,390.708400000000,-390.708400000000,-1125.000000000000,-1723.600000000000,-2114.308400000000,-2250.000000000000,-2114.308400000000,-1723.600000000000,-1125.000000000000,-390.708400000000,390.708400000000,1125.000000000000,1723.600000000000,2114.308400000000,3000.000000000000,2924.783700000000,2702.906600000000,2345.494400000000,1870.469400000000,1301.651200000000,667.562800000000,0.000000000000,-667.562800000000,-1301.651200000000,-1870.469400000000,-2345.494400000000,-2702.906600000000,-2924.783700000000,-3000.000000000000,-2924.783700000000,-2702.906600000000,-2345.494400000000,-1870.469400000000,-1301.651200000000,-667.562800000000,0.000000000000,667.562800000000,1301.651200000000,1870.469400000000,2345.494400000000,2702.906600000000,2924.783700000000","0.000000000000,0.000000000000,713.292400000000,440.838900000000,-440.838900000000,-713.292400000000,0.000000000000,750.000000000000,1299.038100000000,1500.000000000000,1299.038100000000,750.000000000000,0.000000000000,-750.000000000000,-1299.038100000000,-1500.000000000000,-1299.038100000000,-750.000000000000,0.000000000000,769.545300000000,1446.272100000000,1948.557200000000,2215.817400000000,2215.817400000000,1948.557200000000,1446.272100000000,769.545300000000,0.000000000000,-769.545300000000,-1446.272100000000,-1948.557200000000,-2215.817400000000,-2215.817400000000,-1948.557200000000,-1446.272100000000,-769.545300000000,0.000000000000,667.562800000000,1301.651200000000,1870.469400000000,2345.494400000000,2702.906600000000,2924.783700000000,3000.000000000000,2924.783700000000,2702.906600000000,2345.494400000000,1870.469400000000,1301.651200000000,667.562800000000,0.000000000000,-667.562800000000,-1301.651200000000,-1870.469400000000,-2345.494400000000,-2702.906600000000,-2924.783700000000,-3000.000000000000,-2924.783700000000,-2702.906600000000,-2345.494400000000,-1870.469400000000,-1301.651200000000,-667.562800000000",-31.234752377721,-39.043440472152,49
3,2000746483,Sequential,64,1484.929405450920,4061361.519966889638,"-1922.099421630164,-2541.203380120462,561.983491528380,4153.077556780447,-170.228267544921,2594.868404266645,1353.694986810187,1011.302949378425,2572.516564748486,-1206.115053185026,2252.803584395574,-2445.647828843137,-1326.897367402753,1322.864189452299,2232.563701727817,-4520.716632235906,3471.202870126248,-1507.014567979762,-397.371216133109,345.213198990955,174.931922862926,-4635.127217838625,-1545.663348525182,584.775338107630,-241.963597590964,-2874.653912712367,1198.230661817304,-3419.865163611758,-1017.446431703844,1807.886477780478,-1579.941331253103,-1264.739876460413,-566.771619288867,1855.154318757829,32.162312524200,-4666.114868013010,-4147.303249412773,-1150.639741744705,12.426597360533,3187.806138811205,-4254.817302132732,-1324.900073302798,-3361.025303417149,862.033784884790,3853.765680004865,50.185377152359,-2734.338008248356,2560.203507872756,458.758333399436,-169.331821050317,290.607389045760,-807.315883255404,42.403357482787,-230.550774758034,-3923.730764356398,-1832.343085682779,2735.924310409060,-3128.297290712627,-686.307679058180,760.803205926496,-3021.155299644126,-1814.688307768919,4289.038482902009,-2370.611182048774","-4615.791786180242,643.713058221363,3075.128897988614,-1547.170567644075,-1775.502980679918,-2570.842076309710,2748.256335850127,-1878.681077175644,-4287.441955769739,-2133.810055779712,-1927.022459885139,2686.880068467020,1854.629120778330,-2383.431976297516,4473.886377382352,2136.146327156838,980.206188377004,3744.589177353932,-4984.184598967909,-1444.748369208443,-3936.542134434953,-1874.992179837443,-1145.708624451868,30.105653512465,-301.047469170316,-69.517199511152,1595.859902087441,2561.158571749556,295.928810028807,795.886693975998,2093.690790453585,210.516740283021,-3169.921784125069,-220.287446289427,1348.327114908812,160.662810112642,2257.033074798480,4737.434335624894,2744.207272225762,1183.912530090639,854.700199487048,-4119.406290008294,1262.584275004770,-2125.271905396297,3185.669487504415,-4999.748136448483,3081.182796121625,1743.295211636235,688.579860606747,1173.154334401226,4651.356090063034,-1641.047104566247,-1927.218961195392,3569.637095438687,-828.392834319170,-1930.936130822495,-894.725317757424,3900.481516546392,3358.167121015212,4941.778878283807,-1410.440225285229,-571.753895839806,2569.853865920323,-4124.012157030056",-685.380109986829,443.045604304116,5
3,2000746483,Proposed,64,1507.394578036143,1871371.227815455524,"3742.654812551926,738.335885025801,-782.533472446015,2374.615663548519,-179.794758961007,817.220342698658,-222.392730226007,2023.210055195333,2227.775941391867,-316.579237167614,4735.561355956706,-4033.023614576308,1503.944936378243,-3724.958020229725,1109.909933549987,2426.445589277605,1624.698202778883,4707.406526349322,2561.079523367511,2434.938742734380,760.036985121066,-966.532215185504,-3492.477446028281,2533.622123226719,-3232.705639769009,-3824.300503358203,1462.251939824980,-1739.137472518430,1826.929166775955,2053.252849695764,2094.768157126535,726.131021311927,-911.869030334497,1809.476669030676,3340.412659855329,-710.236644277584,4265.047842143268,3005.746555476718,-1096.937802296624,3941.813671825079,-1345.853561901492,-751.629666321108,-2113.188208450253,-862.891631510393,-1199.458124511462,-654.022453103976,-2471.879061348611,-4096.219134518247,675.324548929591,-3775.459683474225,-761.430038406661,-656.215946256992,-4676.512922153894,-2600.869076403081,-2016.414564556475,-16.197722231069,336.043592216137,-1825.791791142028,1892.490498336178,801.554931363288,-1621.635440702588,-690.521720146230,3125.301488030496,-101.059124293692","2007.542077200960,3399.586714312122,-4404.760120185509,-686.892521274787,-3160.194198782378,-3234.299319115911,1602.752325225413,3541.643214771238,4326.332714718902,-2660.494880772271,-1293.841090365171,-81.922813406519,1810.697857110980,-2143.743319865119,-198.094252909590,-2878.552729535878,462.964328060568,533.839162569614,548.200940934602,-2323.539345822491,2557.173775407195,-1343.877457301495,1113.142936533050,-117.736763604465,-475.123689301602,-1139.731026403337,-4201.770804791916,-4593.057241303054,2746.603569669221,-2283.877697398158,1687.323509952581,-4462.675040141958,-236.825904180011,-1561.005749542392,532.106045548587,13.503961540177,1101.000474437598,-913.606905895046,363.584496028074,2910.133555903854,-4815.462406655987,-1983.390717136387,-1710.651804463141,1389.096160627530,-2820.522136936215,1735.104889458064,-1045.847311846467,2867.226674332984,-4045.510534559871,-2491.698198613333,653.603082137265,3124.957110638268,-1769.244722735566,-1428.430036494392,1256.785079474811,-3550.691498147522,2435.928532762913,-4126.099988294233,-428.617767654849,-1550.345364362397,2951.742550643717,-3697.404902765720,-3540.724624339701,3103.973553215652",159.488652379487,-509.745556151389,42
4,1835818273,Baseline,64,1287.554469824800,1500407.104220525594,"0.000000000000,750.000000000000,231.762700000000,-606.762700000000,-606.762700000000,231.762700000000,1500.000000000000,1299.038100000000,750.000000000000,0.000000000000,-750.000000000000,-1299.038100000000,-1500.000000000000,-1299.038100000000,-750.000000000000,0.000000000000,750.000000000000,1299.038100000000,2250.000000000000,2114.308400000000,1723.600000000000,1125.000000000000,390.708400000000,-390.708400000000,-1125.000000000000,-1723.600000000000,-2114.308400000000,-2250.000000000000,-2114.308400000000,-1723.600000000000,-1125.000000000000,-390.708400000000,390.708400000000,1125.000000000000,1723.600000000000,2114.308400000000,3000.000000000000,2924.783700000000,2702.906600000000,2345.494400000000,1870.469400000000,1301.651200000000,667.562800000000,0.000000000000,-667.562800000000,-1301.651200000000,-1870.469400000000,-2345.494400000000,-2702.906600000000,-2924.783700000000,-3000.000000000000,-2924.783700000000,-2702.906600000000,-2345.494400000000,-1870.469400000000,-1301.651200000000,-667.562800000000,0.000000000000,667.562800000000,1301.651200000000,1870.469400000000,2345.494400000000,2702.906600000000,2924.783700000000","0.000000000000,0.000000000000,713.292400000000,440.838900000000,-440.838900000000,-713.292400000000,0.000000000000,750.000000000000,1299.038100000000,1500.000000000000,1299.038100000000,750.000000000000,0.000000000000,-750.000000000000,-1299.038100000000,-1500.000000000000,-1299.038100000000,-750.000000000000,0.000000000000,769.545300000000,1446.272100000000,1948.557200000000,2215.817400000000,2215.817400000000,1948.557200000000,1446.272100000000,769.545300000000,0.000000000000,-769.545300000000,-1446.272100000000,-1948.557200000000,-2215.817400000000,-2215.817400000000,-1948.557200000000,-1446.272100000000,-769.545300000000,0.000000000000,667.562800000000,1301.651200000000,1870.469400000000,2345.494400000000,2702.906600000000,2924.783700000000,3000.000000000000,2924.783700000000,2702.906600000000,2345.494400000000,1870.469400000000,1301.651200000000,667.562800000000,0.000000000000,-667.562800000000,-1301.651200000000,-1870.469400000000,-2345.494400000000,-2702.906600000000,-2924.783700000000,-3000.000000000000,-2924.783700000000,-2702.906600000000,-2345.494400000000,-1870.469400000000,-1301.651200000000,-667.562800000000",-31.234752377721,-39.043440472152,48
